,Target,Claude 3.5 Haiku,Claude 3.5 Sonnet,DeepSeek V3,Gemini 1.5 Pro,Gemini 2 Flash,GPT-3.5 Turbo,GPT-4o,GPT-4o Mini,Llama 3.1 8B,Llama 3.1 70B
Input 1,3111.91,3508.0,3250,3250.0,3700,3700,3250,2350.0,2650.0,3200.0,2700.0
Input 2,2126.41,2250.0,2250,1500.0,2300,2300,2200,2150.0,1506.66,2176.66,2160.0
Input 3,1762.25,1850.0,1850,1850.0,1850,1850,1800,1800.0,1300.0,1766.66,1750.0
Input 4,2146.5,2250.0,2250,,2300,2300,2200,1478.33,1700.0,2200.0,2150.0
Input 5,3054.5,,3150,,3500,3500,3100,2973.0,2661.66,3100.0,3150.0
Input 6,1775.0,1850.0,1850,,1850,1850,1800,1815.0,1830.0,1775.0,1556.0
Input 7,1573.25,1650.0,1650,,1650,1650,1600,1450.0,1600.0,1600.0,1398.33
Input 8,2254.0,2350.0,2350,2350.0,2350,2350,2300,2290.0,2300.0,,2300.0
Input 9,1667.16,1750.0,1750,1750.0,1750,1750,1700,1740.0,1625.0,1700.0,1700.0
Input 10,2137.41,2250.0,2250,2250.0,2180,2150,2200,2190.0,1400.0,2143.33,2200.0
